"","CV_t","RN","RNN","D_slope","RC","gPi","PPF","PPi","PImd","PILSM","RTR","PIR","RDPI","ESPI","ESPIID","PSI","RPI","PQ","PR","NRW","ESP","CEV","PFI","APC","SI","RSI","EVS","FW","min","max","mean","median","slope","range","variance","mean_lower","mean_upper"
"1",0.0253471603020873,-0.0461047959180528,0.0461047959180561,1.82113943876308,1.04443583463064,0.0253471603020874,2.8938763777642,0.0817199223047826,0.0817199223047826,0.0817199223047853,-0.0667101406569654,0.0818564386682135,0.0147825971295454,0.0461047959180527,0.0461047959180527,0.955927172786172,0.0147825971295454,0.0461047959180527,2.25913499998458,2.25913499998458,1.08675053229708,2.53471603020873,0.0426006208660457,0.0461047959180527,0.0170354999118333,0.974652839697913,0.00212565220664529,2.47502918944477,25.3857150716896,27.6448500716742,26.5152825716819,26.5152825716819,-0.0461047959180528,2.25913499998458,0.451701093912123,27.0915925206576,25.9389726227063
"2",0.0422670233070164,-0.0755440453182307,0.0755440453182292,2.98398979007012,1.07521335524186,0.0422670233070164,4.76031340513493,0.132651925596954,0.132651925596954,0.132651925596953,-0.108287286201595,0.13301201334589,0.0246586465277421,0.0755440453182308,0.0755440453182308,0.929762016119127,0.0246586465277421,0.0755440453182308,3.70165822059331,3.70165822059331,1.81218367383469,4.22670233070164,0.0710376000143198,0.0755440453182308,0.0465458930975828,0.957732976692984,0.00570690278304292,4.05540711173929,24.2033887957639,27.9050470163572,26.0542179060605,26.0542179060605,-0.0755440453182307,3.70165822059331,1.21271684139662,26.9985184725384,25.1099173395826
"3",0.0153541739816281,-0.0123953185381021,0.0123953185381021,0.489615082255034,1.02668350876534,0.0153541739816281,1.76750067755697,0.0503127466673464,0.0503127466673464,0.0503127466673468,-0.0410716299325278,0.0503644604293591,0.00895356489963498,0.0123953185381021,0.0123953185381021,0.987756444235636,0.00895356489963496,0.0123953185381021,0.607370608367001,0.607370608367001,0.658304778470287,1.53541739816281,0.0258055473160352,0.0123953185381021,0.00277436512425993,0.984645826018372,0.000153643921661017,0.665413967969783,11.4645326089779,12.0719032173449,11.7682179131614,11.7682179131614,-0.0123953185381021,0.607370608367001,0.0326493333529661,11.9231593948877,11.6132764314352
"4",0.0541075139967158,0.107745613214634,0.107745613214633,4.25595172197804,1.09730842134333,0.0541075139967158,6.62608998710386,0.16671482614397,0.16671482614397,0.16671482614397,0.136093735627731,0.199255782723491,0.0315770209547375,0.107745613214634,0.107745613214634,0.90273433545635,0.0315770209547376,0.107745613214634,5.27953504751707,5.27953504751707,2.31984052400381,5.41075139967158,0.0909377485409495,0.107745613214634,0.0849838975384426,0.945892486003284,0.0116091171669975,-5.78407370493157,26.3885245344052,31.6680595819223,29.0282920581637,29.0282920581637,0.107745613214634,5.27953504751707,2.46693739798697,27.6814718929808,30.3751122233467
"5",0.154565249190322,-0.170012801411597,0.170012801411596,6.71550565575808,1.30557811315764,0.154565249190321,16.0606689356905,0.41241576118341,0.41241576118341,0.412415761183409,-0.336665927496661,0.415916383054966,0.0907715694077682,0.170012801411597,0.170012801411597,0.854691503198529,0.0907715694077682,0.170012801411597,8.33062726916826,8.33062726916826,6.62693038708486,15.4565249190322,0.259775671173727,0.170012801411597,0.383065419955099,0.845434750809678,0.0289043526438192,9.12674349152073,11.8689578418951,20.1995851110633,16.0342714764792,16.0342714764792,-0.170012801411597,8.33062726916826,6.14217493681157,18.1594314941242,13.9091114588343
"6",0.0716919955787889,0.104314906385968,0.104314906385965,4.12043880224576,1.13100429688479,0.0716919955787887,8.93035449999685,0.215069399088775,0.215069399088775,0.215069399088772,0.175566856399,0.272474359100757,0.0418666237815913,0.104314906385969,0.104314906385969,0.905538804391083,0.0418666237815914,0.104314906385969,5.11143041291246,5.11143041291246,3.07376895195132,7.16919955787889,0.120491742916492,0.104314906385969,0.109017572961466,0.928308004421211,0.0108815996943134,-5.59990415440439,18.6549930511834,23.7664234640959,21.2107082576397,21.2107082576397,0.104314906385968,5.11143041291246,2.3123399350416,19.9067719278151,22.5146445874643
"7",0.044600028006297,0.0787867003834846,0.0787867003834841,3.11207466514764,1.07952997806733,0.0446000280062969,5.41303955563328,0.139463315648564,0.139463315648564,0.139463315648565,0.113847604611073,0.161531250819293,0.0260212776244656,0.0787867003834846,0.0787867003834846,0.926967304699365,0.0260212776244656,0.0787867003834846,3.86054831879074,3.86054831879074,1.91221042509905,4.4600028006297,0.0749586486638828,0.0787867003834846,0.0512232949430345,0.955399971993703,0.00620734415731697,-4.22948153887847,23.8209125789194,27.6814608977101,25.7511867383148,25.7511867383148,0.0787867003834846,3.86054831879074,1.31906063342986,24.7663529835212,26.7360204931083
"8",0.411788855271508,-0.130205144966353,0.130205144966353,5.14310322617095,2.09169677508923,0.411788855271508,37.5424612292958,0.818028250588251,0.818028250588251,0.818028250588252,-0.667778163745512,0.831916644825016,0.254246966368261,0.130205144966353,0.130205144966353,0.884795122773725,0.25424696636826,0.130205144966353,6.3800521033513,6.3800521033513,17.6553015141292,41.1788855271508,0.692087819353866,0.130205144966353,0.781595771644437,0.588211144728492,0.016953379775709,6.98976165040191,1.4192532369757,7.799305340327,4.60927928865135,4.60927928865135,-0.130205144966353,6.3800521033513,3.60259320233817,6.23684360073076,2.98171497657193
"9",0.0451662978100099,-0.0608619566836702,0.0608619566836735,2.40404728900497,1.08058042386264,0.04516629781001,5.07519655613388,0.141109097104543,0.141109097104543,0.141109097104546,-0.115191099677178,0.141516633520489,0.026352054457963,0.06086195668367,0.06086195668367,0.942629711339703,0.026352054457963,0.06086195668367,2.98223587749983,2.98223587749983,1.93648904263547,4.51662978100099,0.0759103704713105,0.06086195668367,0.0400718941586358,0.95483370218999,0.00370417777136492,3.26723318733582,18.1520207983146,21.1342566758144,19.6431387370645,19.6431387370645,-0.0608619566836702,2.98223587749983,0.787137776415047,20.4039131956104,18.8823642785186
"10",0.00162052830581518,-0.00250114684456754,0.00250114684456749,0.0987953003604183,1.00278305041968,0.00162052830581518,0.188722423022222,0.00543240321752445,0.00543240321752445,0.00543240321752444,-0.00443461487144855,0.00543300554970463,0.000944922988222813,0.00250114684456751,0.00250114684456753,0.997505093283494,0.000944922988222813,0.00250114684456751,0.122556195383808,0.122556195383808,0.0694795779076736,0.162052830581518,0.00272359945398075,0.00250114684456751,5.90847331955243e-05,0.998379471694185,6.25573553809013e-06,0.134268275656078,22.4376607981657,22.5602169935495,22.4989388958576,22.4989388958576,-0.00250114684456754,0.122556195383808,0.00132934380184415,22.5302032314147,22.4676745603005
