Variety	Biomass	ENV	Treatment	Season	ENV_Biomass
LH39	236.7630876	WD_S12	WD	S12	194.4
LH59	175.7770016	WD_S12	WD	S12	194.4
LH60	150.3622735	WD_S12	WD	S12	194.4
LH65	175.5540172	WD_S12	WD	S12	194.4
LH74	154.4777626	WD_S12	WD	S12	194.4
LH82	165.3476176	WD_S12	WD	S12	194.4
LH93	184.9148922	WD_S12	WD	S12	194.4
Lo1016	219.0937281	WD_S12	WD	S12	194.4
Lo1026	220.0932989	WD_S12	WD	S12	194.4
Lo1035	193.8206599	WD_S12	WD	S12	194.4
Lo1038	171.1364337	WD_S12	WD	S12	194.4
Lo1056	205.1826299	WD_S12	WD	S12	194.4
Lo1063	196.7712061	WD_S12	WD	S12	194.4
Lo1087	153.1057905	WD_S12	WD	S12	194.4
Lo1094	224.645255	WD_S12	WD	S12	194.4
Lo1095	191.9751127	WD_S12	WD	S12	194.4
Lo1101	162.8498034	WD_S12	WD	S12	194.4
Lo1106	160.7000269	WD_S12	WD	S12	194.4
Lo1123	226.9404371	WD_S12	WD	S12	194.4
Lo1124	176.6475956	WD_S12	WD	S12	194.4
Lo1172	184.0424653	WD_S12	WD	S12	194.4
Lo1180	169.4145315	WD_S12	WD	S12	194.4
Lo1187	183.6617351	WD_S12	WD	S12	194.4
Lo1199	176.3556592	WD_S12	WD	S12	194.4
Lo1203	190.5506226	WD_S12	WD	S12	194.4
Lo1223	190.487503	WD_S12	WD	S12	194.4
Lo1251	171.2722303	WD_S12	WD	S12	194.4
Lo1253	182.0068454	WD_S12	WD	S12	194.4
Lo1261	169.4650293	WD_S12	WD	S12	194.4
Lo1266	218.9933367	WD_S12	WD	S12	194.4
Lo1270	196.9774698	WD_S12	WD	S12	194.4
Lo1273	256.4985141	WD_S12	WD	S12	194.4
Lo1274	214.744547	WD_S12	WD	S12	194.4
Lo1280	199.8487829	WD_S12	WD	S12	194.4
Lo1284	191.3075427	WD_S12	WD	S12	194.4
