Variety	Leaf_area	ENV	Treatment	Season	ENV_Leaf_area
DKMBST	0.308843697	WD_S16	WD	S16	0.27
EA1027	0.292015222	WD_S16	WD	S16	0.27
EA1163	0.294587545	WD_S16	WD	S16	0.27
EA3076	0.24968765	WD_S16	WD	S16	0.27
EC136	0.298388515	WD_S16	WD	S16	0.27
EC140	0.299010297	WD_S16	WD	S16	0.27
EC151	0.29285439	WD_S16	WD	S16	0.27
EC169	0.263821779	WD_S16	WD	S16	0.27
EC175	0.279490245	WD_S16	WD	S16	0.27
EC232	0.282124006	WD_S16	WD	S16	0.27
EC242C	0.280692958	WD_S16	WD	S16	0.27
EC334	0.269023645	WD_S16	WD	S16	0.27
EP10	0.320834448	WD_S16	WD	S16	0.27
EP2008-18	0.283637091	WD_S16	WD	S16	0.27
EP2008-22	0.27904613	WD_S16	WD	S16	0.27
EP29	0.322236615	WD_S16	WD	S16	0.27
EP51	0.2751534	WD_S16	WD	S16	0.27
EP52	0.300909733	WD_S16	WD	S16	0.27
EP55	0.301896772	WD_S16	WD	S16	0.27
EP67	0.283559173	WD_S16	WD	S16	0.27
EP72	0.290295421	WD_S16	WD	S16	0.27
EP77	0.310481577	WD_S16	WD	S16	0.27
EZ11A	0.253037499	WD_S16	WD	S16	0.27
EZ18	0.292831953	WD_S16	WD	S16	0.27
EZ31	0.300037128	WD_S16	WD	S16	0.27
EZ34	0.280244451	WD_S16	WD	S16	0.27
EZ35	0.285584507	WD_S16	WD	S16	0.27
EZ36	0.263082112	WD_S16	WD	S16	0.27
EZ37	0.262240279	WD_S16	WD	S16	0.27
EZ38	0.288287046	WD_S16	WD	S16	0.27
EZ40	0.280713696	WD_S16	WD	S16	0.27
EZ42	0.286908418	WD_S16	WD	S16	0.27
EZ47	0.283647521	WD_S16	WD	S16	0.27
EZ48	0.277910938	WD_S16	WD	S16	0.27
F04401	0.222291317	WD_S16	WD	S16	0.27
F04402	0.253580422	WD_S16	WD	S16	0.27
F04701	0.275337789	WD_S16	WD	S16	0.27
F04702	0.280805492	WD_S16	WD	S16	0.27
F05101	0.310588463	WD_S16	WD	S16	0.27
F05404	0.265769274	WD_S16	WD	S16	0.27
F1808	0.27375555	WD_S16	WD	S16	0.27
F1890	0.261698298	WD_S16	WD	S16	0.27
F218	0.274211179	WD_S16	WD	S16	0.27
F252	0.267679455	WD_S16	WD	S16	0.27
F353	0.262877401	WD_S16	WD	S16	0.27
F354	0.238980226	WD_S16	WD	S16	0.27
F546	0.279487105	WD_S16	WD	S16	0.27
F608	0.284581369	WD_S16	WD	S16	0.27
F618	0.28996942	WD_S16	WD	S16	0.27
F7001	0.270583563	WD_S16	WD	S16	0.27
F7019	0.291973209	WD_S16	WD	S16	0.27
F7025	0.246023664	WD_S16	WD	S16	0.27
F7028	0.264793994	WD_S16	WD	S16	0.27
F7057	0.276350001	WD_S16	WD	S16	0.27
F7058	0.261984623	WD_S16	WD	S16	0.27
F7081	0.290551823	WD_S16	WD	S16	0.27
F7082	0.278705342	WD_S16	WD	S16	0.27
F712	0.271423015	WD_S16	WD	S16	0.27
F748	0.278218437	WD_S16	WD	S16	0.27
F752	0.287870992	WD_S16	WD	S16	0.27
F838	0.316178836	WD_S16	WD	S16	0.27
F874	0.273660129	WD_S16	WD	S16	0.27
F888	0.314035582	WD_S16	WD	S16	0.27
F894	0.304961638	WD_S16	WD	S16	0.27
F908	0.251028972	WD_S16	WD	S16	0.27
F912	0.287663218	WD_S16	WD	S16	0.27
F918	0.308240008	WD_S16	WD	S16	0.27
F922	0.23549389	WD_S16	WD	S16	0.27
F98902	0.228802691	WD_S16	WD	S16	0.27
FP1	0.311695889	WD_S16	WD	S16	0.27
FR19	0.281742667	WD_S16	WD	S16	0.27
FR697	0.249275697	WD_S16	WD	S16	0.27
H99	0.249352246	WD_S16	WD	S16	0.27
HMV5301	0.233368851	WD_S16	WD	S16	0.27
HMV5325	0.257158581	WD_S16	WD	S16	0.27
HMV5343	0.306062413	WD_S16	WD	S16	0.27
HMV5347	0.285450893	WD_S16	WD	S16	0.27
HMV5405	0.272929421	WD_S16	WD	S16	0.27
HMV5409	0.276711051	WD_S16	WD	S16	0.27
HMV5422	0.265932062	WD_S16	WD	S16	0.27
HMV5502	0.298476589	WD_S16	WD	S16	0.27
I198	0.276257363	WD_S16	WD	S16	0.27
I205	0.249495309	WD_S16	WD	S16	0.27
I211	0.304598325	WD_S16	WD	S16	0.27
I238	0.300678352	WD_S16	WD	S16	0.27
I242	0.28242391	WD_S16	WD	S16	0.27
I261	0.240915827	WD_S16	WD	S16	0.27
I267	0.301136018	WD_S16	WD	S16	0.27
IDT	0.279732501	WD_S16	WD	S16	0.27
LAN496	0.273365938	WD_S16	WD	S16	0.27
LH123Ht	0.290221632	WD_S16	WD	S16	0.27
LH145	0.288680183	WD_S16	WD	S16	0.27
LH38	0.301772565	WD_S16	WD	S16	0.27
LH39	0.303918978	WD_S16	WD	S16	0.27
LH59	0.251607671	WD_S16	WD	S16	0.27
LH60	0.271307124	WD_S16	WD	S16	0.27
LH65	0.269195837	WD_S16	WD	S16	0.27
LH74	0.248111534	WD_S16	WD	S16	0.27
LH82	0.250967004	WD_S16	WD	S16	0.27
LH93	0.270487718	WD_S16	WD	S16	0.27
Lo1016	0.289711802	WD_S16	WD	S16	0.27
Lo1026	0.287366851	WD_S16	WD	S16	0.27
Lo1035	0.29329507	WD_S16	WD	S16	0.27
Lo1038	0.239676393	WD_S16	WD	S16	0.27
Lo1056	0.294601988	WD_S16	WD	S16	0.27
Lo1063	0.259206584	WD_S16	WD	S16	0.27
Lo1087	0.253098001	WD_S16	WD	S16	0.27
Lo1094	0.275152526	WD_S16	WD	S16	0.27
Lo1095	0.296555903	WD_S16	WD	S16	0.27
Lo1101	0.29800621	WD_S16	WD	S16	0.27
Lo1106	0.276821905	WD_S16	WD	S16	0.27
Lo1123	0.28619406	WD_S16	WD	S16	0.27
Lo1124	0.25907764	WD_S16	WD	S16	0.27
Lo1172	0.271428184	WD_S16	WD	S16	0.27
Lo1180	0.259439995	WD_S16	WD	S16	0.27
Lo1187	0.275089913	WD_S16	WD	S16	0.27
Lo1199	0.293630307	WD_S16	WD	S16	0.27
Lo1203	0.267503996	WD_S16	WD	S16	0.27
Lo1223	0.279952095	WD_S16	WD	S16	0.27
Lo1251	0.252696204	WD_S16	WD	S16	0.27
Lo1253	0.317948665	WD_S16	WD	S16	0.27
Lo1261	0.292527026	WD_S16	WD	S16	0.27
Lo1266	0.290104432	WD_S16	WD	S16	0.27
Lo1270	0.279068884	WD_S16	WD	S16	0.27
Lo1273	0.292103504	WD_S16	WD	S16	0.27
Lo1274	0.284326234	WD_S16	WD	S16	0.27
Lo1280	0.243273416	WD_S16	WD	S16	0.27
Lo1284	0.258532036	WD_S16	WD	S16	0.27
Lo1288	0.240670933	WD_S16	WD	S16	0.27
Lo1290	0.282920841	WD_S16	WD	S16	0.27
Lo1301	0.286835645	WD_S16	WD	S16	0.27
Lo904	0.269690043	WD_S16	WD	S16	0.27
Lp5	0.260424033	WD_S16	WD	S16	0.27
ML606	0.302352857	WD_S16	WD	S16	0.27
Mo15W	0.284564584	WD_S16	WD	S16	0.27
Mo17	0.277189479	WD_S16	WD	S16	0.27
MS153	0.321962539	WD_S16	WD	S16	0.27
MS71	0.286258388	WD_S16	WD	S16	0.27
N16	0.261360555	WD_S16	WD	S16	0.27
N192	0.290351096	WD_S16	WD	S16	0.27
N22	0.267023653	WD_S16	WD	S16	0.27
N25	0.276425622	WD_S16	WD	S16	0.27
N6	0.269116573	WD_S16	WD	S16	0.27
NC290	0.279119457	WD_S16	WD	S16	0.27
NC358	0.281453276	WD_S16	WD	S16	0.27
NDB8	0.272607829	WD_S16	WD	S16	0.27
NK764	0.27238589	WD_S16	WD	S16	0.27
NK807	0.285516184	WD_S16	WD	S16	0.27
NQ508	0.242005574	WD_S16	WD	S16	0.27
NS701	0.299141545	WD_S16	WD	S16	0.27
Oh02	0.274588545	WD_S16	WD	S16	0.27
Oh33	0.278624057	WD_S16	WD	S16	0.27
Oh40B	0.290932968	WD_S16	WD	S16	0.27
Oh43	0.315235098	WD_S16	WD	S16	0.27
Os426	0.317716164	WD_S16	WD	S16	0.27
P465P	0.302166607	WD_S16	WD	S16	0.27
Pa36	0.27845587	WD_S16	WD	S16	0.27
Pa405	0.266893618	WD_S16	WD	S16	0.27
Pa91	0.274268739	WD_S16	WD	S16	0.27
PB116	0.28132759	WD_S16	WD	S16	0.27
PB98TR	0.290405587	WD_S16	WD	S16	0.27
PH207	0.262130062	WD_S16	WD	S16	0.27
PHB09	0.282519403	WD_S16	WD	S16	0.27
PHG35	0.296971285	WD_S16	WD	S16	0.27
PHG39	0.281195305	WD_S16	WD	S16	0.27
PHG47	0.25574302	WD_S16	WD	S16	0.27
PHG50	0.267822832	WD_S16	WD	S16	0.27
PHG71	0.306536825	WD_S16	WD	S16	0.27
PHG80	0.275807477	WD_S16	WD	S16	0.27
PHG84	0.26567324	WD_S16	WD	S16	0.27
PHG86	0.259733677	WD_S16	WD	S16	0.27
PHH93	0.23639137	WD_S16	WD	S16	0.27
PHJ40	0.271487103	WD_S16	WD	S16	0.27
PHK29	0.308383124	WD_S16	WD	S16	0.27
PHK76	0.273188045	WD_S16	WD	S16	0.27
PHR36	0.286199372	WD_S16	WD	S16	0.27
PHT77	0.277276943	WD_S16	WD	S16	0.27
PHV63	0.275895131	WD_S16	WD	S16	0.27
PHW65	0.25716684	WD_S16	WD	S16	0.27
PHZ51	0.2731216	WD_S16	WD	S16	0.27
SC-Malawi	0.326527223	WD_S16	WD	S16	0.27
SGI061	0.223519962	WD_S16	WD	S16	0.27
UH_2500	0.286429282	WD_S16	WD	S16	0.27
UH_6102	0.239732859	WD_S16	WD	S16	0.27
UH_6179	0.274466178	WD_S16	WD	S16	0.27
UH_P060	0.318985074	WD_S16	WD	S16	0.27
UH_P064	0.267592919	WD_S16	WD	S16	0.27
UH_P074	0.26236279	WD_S16	WD	S16	0.27
UH_P087	0.247312318	WD_S16	WD	S16	0.27
UH_P089	0.290029195	WD_S16	WD	S16	0.27
UH_P104	0.303454256	WD_S16	WD	S16	0.27
UH_P115	0.296666456	WD_S16	WD	S16	0.27
UH_P128	0.279451289	WD_S16	WD	S16	0.27
UH_P148	0.253523024	WD_S16	WD	S16	0.27
UH_S018	0.271041958	WD_S16	WD	S16	0.27
UH_S020	0.286448401	WD_S16	WD	S16	0.27
UH_S025	0.339115106	WD_S16	WD	S16	0.27
UH250	0.289523056	WD_S16	WD	S16	0.27
UH304	0.262836475	WD_S16	WD	S16	0.27
Va26	0.323384146	WD_S16	WD	S16	0.27
W117	0.289554235	WD_S16	WD	S16	0.27
W153R	0.297555456	WD_S16	WD	S16	0.27
W182E	0.306936316	WD_S16	WD	S16	0.27
W23	0.295927036	WD_S16	WD	S16	0.27
W602S	0.25993482	WD_S16	WD	S16	0.27
W604S	0.277958635	WD_S16	WD	S16	0.27
W64A	0.227109137	WD_S16	WD	S16	0.27
W9	0.21183119	WD_S16	WD	S16	0.27
W95115	0.246530891	WD_S16	WD	S16	0.27
Wf9	0.258638467	WD_S16	WD	S16	0.27
11430	0.308847805	WD_W13	WD	W13	0.293
A3	0.342923696	WD_W13	WD	W13	0.293
A310	0.32310123	WD_W13	WD	W13	0.293
A347	0.295145922	WD_W13	WD	W13	0.293
A374	0.316812703	WD_W13	WD	W13	0.293
A375	0.28245919	WD_W13	WD	W13	0.293
A554	0.29802091	WD_W13	WD	W13	0.293
AS5707	0.260723448	WD_W13	WD	W13	0.293
B100	0.288158929	WD_W13	WD	W13	0.293
B104	0.247994434	WD_W13	WD	W13	0.293
B105	0.254612387	WD_W13	WD	W13	0.293
B106	0.308800168	WD_W13	WD	W13	0.293
B107	0.244483859	WD_W13	WD	W13	0.293
B108	0.246857867	WD_W13	WD	W13	0.293
B109	0.287660347	WD_W13	WD	W13	0.293
B110	0.291645984	WD_W13	WD	W13	0.293
B113	0.235840738	WD_W13	WD	W13	0.293
B37	0.318783166	WD_W13	WD	W13	0.293
B73	0.280023901	WD_W13	WD	W13	0.293
B84	0.31914345	WD_W13	WD	W13	0.293
B89	0.283821191	WD_W13	WD	W13	0.293
B97	0.328115167	WD_W13	WD	W13	0.293
B98	0.236620703	WD_W13	WD	W13	0.293
C103	0.33106359	WD_W13	WD	W13	0.293
CO109	0.309052587	WD_W13	WD	W13	0.293
CR1Ht	0.325222671	WD_W13	WD	W13	0.293
D09	0.292762599	WD_W13	WD	W13	0.293
DE811	0.260963192	WD_W13	WD	W13	0.293
DK4676A	0.227353912	WD_W13	WD	W13	0.293
DK78010	0.243133605	WD_W13	WD	W13	0.293
DK78371A	0.312107572	WD_W13	WD	W13	0.293
DKFAPW	0.332586128	WD_W13	WD	W13	0.293
DKFBHJ	0.31057699	WD_W13	WD	W13	0.293
DKIBO2	0.324625356	WD_W13	WD	W13	0.293
DKMBST	0.287463323	WD_W13	WD	W13	0.293
EA1027	0.278054471	WD_W13	WD	W13	0.293
EA1163	0.288280909	WD_W13	WD	W13	0.293
EA3076	0.271165138	WD_W13	WD	W13	0.293
EC136	0.283325663	WD_W13	WD	W13	0.293
EC140	0.293382713	WD_W13	WD	W13	0.293
EC151	0.247018119	WD_W13	WD	W13	0.293
EC169	0.27810805	WD_W13	WD	W13	0.293
EC175	0.276839311	WD_W13	WD	W13	0.293
EC232	0.293476564	WD_W13	WD	W13	0.293
EC242C	0.289962865	WD_W13	WD	W13	0.293
EC334	0.275545581	WD_W13	WD	W13	0.293
EP10	0.324731894	WD_W13	WD	W13	0.293
EP2008-18	0.307135373	WD_W13	WD	W13	0.293
EP2008-22	0.295857626	WD_W13	WD	W13	0.293
EP29	0.285154216	WD_W13	WD	W13	0.293
EP51	0.280536223	WD_W13	WD	W13	0.293
EP52	0.344716656	WD_W13	WD	W13	0.293
EP55	0.294629757	WD_W13	WD	W13	0.293
EP67	0.307376563	WD_W13	WD	W13	0.293
EP72	0.317024378	WD_W13	WD	W13	0.293
EP77	0.339017807	WD_W13	WD	W13	0.293
EZ11A	0.27158208	WD_W13	WD	W13	0.293
EZ18	0.268874378	WD_W13	WD	W13	0.293
EZ31	0.313796125	WD_W13	WD	W13	0.293
EZ34	0.288333191	WD_W13	WD	W13	0.293
EZ35	0.292269713	WD_W13	WD	W13	0.293
EZ36	0.275114046	WD_W13	WD	W13	0.293
EZ37	0.299575173	WD_W13	WD	W13	0.293
EZ38	0.341623937	WD_W13	WD	W13	0.293
EZ40	0.254007815	WD_W13	WD	W13	0.293
EZ42	0.313014812	WD_W13	WD	W13	0.293
EZ47	0.274105642	WD_W13	WD	W13	0.293
EZ48	0.260582169	WD_W13	WD	W13	0.293
F04401	0.244044505	WD_W13	WD	W13	0.293
F04402	0.259770023	WD_W13	WD	W13	0.293
F04701	0.25277026	WD_W13	WD	W13	0.293
F04702	0.296205059	WD_W13	WD	W13	0.293
F05101	0.305232784	WD_W13	WD	W13	0.293
F05404	0.29474044	WD_W13	WD	W13	0.293
F1808	0.304782157	WD_W13	WD	W13	0.293
F1890	0.297637495	WD_W13	WD	W13	0.293
F218	0.330902852	WD_W13	WD	W13	0.293
F252	0.287443238	WD_W13	WD	W13	0.293
F353	0.31084706	WD_W13	WD	W13	0.293
F354	0.244325615	WD_W13	WD	W13	0.293
F546	0.243434356	WD_W13	WD	W13	0.293
F608	0.266423742	WD_W13	WD	W13	0.293
F618	0.314525541	WD_W13	WD	W13	0.293
F7001	0.266146398	WD_W13	WD	W13	0.293
F7019	0.339060087	WD_W13	WD	W13	0.293
F7025	0.276001107	WD_W13	WD	W13	0.293
F7028	0.272599594	WD_W13	WD	W13	0.293
F7057	0.269648666	WD_W13	WD	W13	0.293
F7058	0.347110662	WD_W13	WD	W13	0.293
F7081	0.322873882	WD_W13	WD	W13	0.293
F7082	0.299866211	WD_W13	WD	W13	0.293
F712	0.290090065	WD_W13	WD	W13	0.293
F748	0.314676272	WD_W13	WD	W13	0.293
F752	0.286341098	WD_W13	WD	W13	0.293
F838	0.339286314	WD_W13	WD	W13	0.293
F874	0.309054532	WD_W13	WD	W13	0.293
F888	0.329601282	WD_W13	WD	W13	0.293
F894	0.312030736	WD_W13	WD	W13	0.293
F908	0.262755088	WD_W13	WD	W13	0.293
F912	0.328915715	WD_W13	WD	W13	0.293
F918	0.310794674	WD_W13	WD	W13	0.293
F922	0.300717841	WD_W13	WD	W13	0.293
F98902	0.294141984	WD_W13	WD	W13	0.293
FP1	0.332369475	WD_W13	WD	W13	0.293
FR19	0.298470518	WD_W13	WD	W13	0.293
FR697	0.256795674	WD_W13	WD	W13	0.293
H99	0.272125693	WD_W13	WD	W13	0.293
HMV5301	0.279449829	WD_W13	WD	W13	0.293
HMV5325	0.28359629	WD_W13	WD	W13	0.293
HMV5343	0.263736539	WD_W13	WD	W13	0.293
HMV5347	0.299116695	WD_W13	WD	W13	0.293
HMV5405	0.239852804	WD_W13	WD	W13	0.293
HMV5409	0.317207284	WD_W13	WD	W13	0.293
HMV5422	0.25285154	WD_W13	WD	W13	0.293
HMV5502	0.304662302	WD_W13	WD	W13	0.293
I198	0.292282322	WD_W13	WD	W13	0.293
I205	0.250662062	WD_W13	WD	W13	0.293
I211	0.319471331	WD_W13	WD	W13	0.293
I238	0.286282926	WD_W13	WD	W13	0.293
I242	0.316708025	WD_W13	WD	W13	0.293
I261	0.248482654	WD_W13	WD	W13	0.293
I267	0.29675328	WD_W13	WD	W13	0.293
IDT	0.262724926	WD_W13	WD	W13	0.293
LAN496	0.294569376	WD_W13	WD	W13	0.293
LH123Ht	0.352820085	WD_W13	WD	W13	0.293
LH145	0.302799023	WD_W13	WD	W13	0.293
LH38	0.334002723	WD_W13	WD	W13	0.293
LH39	0.367730985	WD_W13	WD	W13	0.293
LH59	0.24681129	WD_W13	WD	W13	0.293
LH60	0.27665031	WD_W13	WD	W13	0.293
LH65	0.263229671	WD_W13	WD	W13	0.293
LH74	0.278435927	WD_W13	WD	W13	0.293
LH82	0.253326063	WD_W13	WD	W13	0.293
LH93	0.312656665	WD_W13	WD	W13	0.293
Lo1016	0.319391604	WD_W13	WD	W13	0.293
Lo1026	0.297028918	WD_W13	WD	W13	0.293
Lo1035	0.295148016	WD_W13	WD	W13	0.293
Lo1038	0.254082857	WD_W13	WD	W13	0.293
Lo1056	0.264393658	WD_W13	WD	W13	0.293
Lo1063	0.275158678	WD_W13	WD	W13	0.293
Lo1087	0.203479647	WD_W13	WD	W13	0.293
Lo1094	0.291865358	WD_W13	WD	W13	0.293
Lo1095	0.289823866	WD_W13	WD	W13	0.293
Lo1101	0.281057237	WD_W13	WD	W13	0.293
Lo1106	0.280708935	WD_W13	WD	W13	0.293
Lo1123	0.342446456	WD_W13	WD	W13	0.293
Lo1124	0.257893014	WD_W13	WD	W13	0.293
Lo1172	0.315420464	WD_W13	WD	W13	0.293
Lo1180	0.314830241	WD_W13	WD	W13	0.293
Lo1187	0.290473105	WD_W13	WD	W13	0.293
Lo1199	0.278156925	WD_W13	WD	W13	0.293
Lo1203	0.254241642	WD_W13	WD	W13	0.293
Lo1223	0.302820579	WD_W13	WD	W13	0.293
Lo1251	0.225462682	WD_W13	WD	W13	0.293
Lo1253	0.26521681	WD_W13	WD	W13	0.293
Lo1261	0.289009592	WD_W13	WD	W13	0.293
Lo1266	0.29328016	WD_W13	WD	W13	0.293
Lo1270	0.292909896	WD_W13	WD	W13	0.293
Lo1273	0.335514909	WD_W13	WD	W13	0.293
Lo1274	0.270897766	WD_W13	WD	W13	0.293
Lo1280	0.297450795	WD_W13	WD	W13	0.293
Lo1284	0.298687788	WD_W13	WD	W13	0.293
Lo1288	0.235833581	WD_W13	WD	W13	0.293
Lo1290	0.276845272	WD_W13	WD	W13	0.293
Lo1301	0.312746953	WD_W13	WD	W13	0.293
Lo904	0.297259242	WD_W13	WD	W13	0.293
Lp5	0.304903398	WD_W13	WD	W13	0.293
ML606	0.320107983	WD_W13	WD	W13	0.293
Mo15W	0.306409008	WD_W13	WD	W13	0.293
Mo17	0.312487449	WD_W13	WD	W13	0.293
MS153	0.322811285	WD_W13	WD	W13	0.293
MS71	0.268908439	WD_W13	WD	W13	0.293
N16	0.256107812	WD_W13	WD	W13	0.293
N192	0.279881771	WD_W13	WD	W13	0.293
N22	0.271107107	WD_W13	WD	W13	0.293
N25	0.220417015	WD_W13	WD	W13	0.293
N6	0.258470469	WD_W13	WD	W13	0.293
NC290	0.276299347	WD_W13	WD	W13	0.293
NC358	0.307138253	WD_W13	WD	W13	0.293
NDB8	0.234905216	WD_W13	WD	W13	0.293
NK764	0.304084337	WD_W13	WD	W13	0.293
NK807	0.337504849	WD_W13	WD	W13	0.293
NQ508	0.299360335	WD_W13	WD	W13	0.293
NS701	0.353428624	WD_W13	WD	W13	0.293
Oh02	0.233546862	WD_W13	WD	W13	0.293
Oh33	0.326203158	WD_W13	WD	W13	0.293
Oh40B	0.310974448	WD_W13	WD	W13	0.293
Oh43	0.394283518	WD_W13	WD	W13	0.293
Os426	0.291294559	WD_W13	WD	W13	0.293
P465P	0.329963663	WD_W13	WD	W13	0.293
Pa36	0.2825335	WD_W13	WD	W13	0.293
Pa405	0.255983315	WD_W13	WD	W13	0.293
Pa91	0.293918458	WD_W13	WD	W13	0.293
PB116	0.275573637	WD_W13	WD	W13	0.293
PB98TR	0.251687464	WD_W13	WD	W13	0.293
PH207	0.257588646	WD_W13	WD	W13	0.293
PHB09	0.285222008	WD_W13	WD	W13	0.293
PHG35	0.332803097	WD_W13	WD	W13	0.293
PHG39	0.324112125	WD_W13	WD	W13	0.293
PHG47	0.272301541	WD_W13	WD	W13	0.293
PHG50	0.289971955	WD_W13	WD	W13	0.293
PHG71	0.317050297	WD_W13	WD	W13	0.293
PHG80	0.306722264	WD_W13	WD	W13	0.293
PHG84	0.295628285	WD_W13	WD	W13	0.293
PHG86	0.290613334	WD_W13	WD	W13	0.293
PHH93	0.287592672	WD_W13	WD	W13	0.293
PHJ40	0.282339396	WD_W13	WD	W13	0.293
PHK29	0.334867596	WD_W13	WD	W13	0.293
PHK76	0.27204744	WD_W13	WD	W13	0.293
PHR36	0.327432135	WD_W13	WD	W13	0.293
PHT77	0.308075638	WD_W13	WD	W13	0.293
PHV63	0.264001221	WD_W13	WD	W13	0.293
PHW65	0.254651157	WD_W13	WD	W13	0.293
PHZ51	0.313344761	WD_W13	WD	W13	0.293
SC-Malawi	0.33445296	WD_W13	WD	W13	0.293
SGI061	0.228630413	WD_W13	WD	W13	0.293
UH_2500	0.288029974	WD_W13	WD	W13	0.293
UH_6102	0.336126011	WD_W13	WD	W13	0.293
UH_6179	0.318162187	WD_W13	WD	W13	0.293
UH_P060	0.354556903	WD_W13	WD	W13	0.293
UH_P064	0.301399311	WD_W13	WD	W13	0.293
UH_P074	0.245487675	WD_W13	WD	W13	0.293
UH_P087	0.245200829	WD_W13	WD	W13	0.293
UH_P089	0.278047462	WD_W13	WD	W13	0.293
UH_P104	0.352030834	WD_W13	WD	W13	0.293
UH_P115	0.299046123	WD_W13	WD	W13	0.293
UH_P128	0.336960836	WD_W13	WD	W13	0.293
UH_P148	0.262839283	WD_W13	WD	W13	0.293
UH_S018	0.294933573	WD_W13	WD	W13	0.293
UH_S020	0.292967369	WD_W13	WD	W13	0.293
UH_S025	0.339520904	WD_W13	WD	W13	0.293
UH250	0.310805116	WD_W13	WD	W13	0.293
UH304	0.28	WD_W13	WD	W13	0.293
Va26	0.320006354	WD_W13	WD	W13	0.293
W117	0.370373295	WD_W13	WD	W13	0.293
W153R	0.303630431	WD_W13	WD	W13	0.293
W182E	0.325617057	WD_W13	WD	W13	0.293
W23	0.295558514	WD_W13	WD	W13	0.293
W602S	0.285633238	WD_W13	WD	W13	0.293
W604S	0.267843473	WD_W13	WD	W13	0.293
W64A	0.279586566	WD_W13	WD	W13	0.293
W9	0.26701849	WD_W13	WD	W13	0.293
W95115	0.301239026	WD_W13	WD	W13	0.293
Wf9	0.340065505	WD_W13	WD	W13	0.293
11430	0.36203812	WW_S12	WW	S12	0.32
A3	0.367329482	WW_S12	WW	S12	0.32
A310	0.305644032	WW_S12	WW	S12	0.32
A347	0.303464777	WW_S12	WW	S12	0.32
A374	0.364922873	WW_S12	WW	S12	0.32
A375	0.32153389	WW_S12	WW	S12	0.32
A554	0.283203995	WW_S12	WW	S12	0.32
AS5707	0.276832122	WW_S12	WW	S12	0.32
B100	0.340645763	WW_S12	WW	S12	0.32
B104	0.360314882	WW_S12	WW	S12	0.32
B105	0.360420586	WW_S12	WW	S12	0.32
B106	0.337134218	WW_S12	WW	S12	0.32
B107	0.220772829	WW_S12	WW	S12	0.32
B108	0.300611432	WW_S12	WW	S12	0.32
B109	0.331019237	WW_S12	WW	S12	0.32
B110	0.342154144	WW_S12	WW	S12	0.32
B113	0.278931754	WW_S12	WW	S12	0.32
B37	0.351004061	WW_S12	WW	S12	0.32
B73	0.271397978	WW_S12	WW	S12	0.32
B84	0.365873408	WW_S12	WW	S12	0.32
B89	0.321265821	WW_S12	WW	S12	0.32
B97	0.303923465	WW_S12	WW	S12	0.32
B98	0.318114117	WW_S12	WW	S12	0.32
C103	0.275988294	WW_S12	WW	S12	0.32
CO109	0.320128817	WW_S12	WW	S12	0.32
CR1Ht	0.36059961	WW_S12	WW	S12	0.32
D09	0.346598829	WW_S12	WW	S12	0.32
DE811	0.281840132	WW_S12	WW	S12	0.32
DK4676A	0.27102843	WW_S12	WW	S12	0.32
DK78010	0.267346152	WW_S12	WW	S12	0.32
DK78371A	0.303238735	WW_S12	WW	S12	0.32
DKFAPW	0.36617059	WW_S12	WW	S12	0.32
DKFBHJ	0.331199525	WW_S12	WW	S12	0.32
DKIBO2	0.3293672	WW_S12	WW	S12	0.32
DKMBST	0.376481419	WW_S12	WW	S12	0.32
EA1027	0.352044254	WW_S12	WW	S12	0.32
EA1163	0.308244452	WW_S12	WW	S12	0.32
EA3076	0.308173349	WW_S12	WW	S12	0.32
EC136	0.330412759	WW_S12	WW	S12	0.32
EC140	0.349630556	WW_S12	WW	S12	0.32
EC151	0.287826431	WW_S12	WW	S12	0.32
EC169	0.297157607	WW_S12	WW	S12	0.32
EC175	0.326889736	WW_S12	WW	S12	0.32
EC232	0.342004994	WW_S12	WW	S12	0.32
EC242C	0.335525131	WW_S12	WW	S12	0.32
EC334	0.307140005	WW_S12	WW	S12	0.32
EP10	0.408608722	WW_S12	WW	S12	0.32
EP2008-18	0.317661313	WW_S12	WW	S12	0.32
EP2008-22	0.3470099	WW_S12	WW	S12	0.32
EP29	0.313939406	WW_S12	WW	S12	0.32
EP51	0.27078218	WW_S12	WW	S12	0.32
EP52	0.344041333	WW_S12	WW	S12	0.32
EP55	0.298184422	WW_S12	WW	S12	0.32
EP67	0.329147489	WW_S12	WW	S12	0.32
EP72	0.273942847	WW_S12	WW	S12	0.32
EP77	0.395321705	WW_S12	WW	S12	0.32
EZ11A	0.253222358	WW_S12	WW	S12	0.32
EZ18	0.321528167	WW_S12	WW	S12	0.32
EZ31	0.372247134	WW_S12	WW	S12	0.32
EZ34	0.344252866	WW_S12	WW	S12	0.32
EZ35	0.359712743	WW_S12	WW	S12	0.32
EZ36	0.287469881	WW_S12	WW	S12	0.32
EZ37	0.293939025	WW_S12	WW	S12	0.32
EZ38	0.391143612	WW_S12	WW	S12	0.32
EZ40	0.288197655	WW_S12	WW	S12	0.32
EZ42	0.313671824	WW_S12	WW	S12	0.32
EZ47	0.324252294	WW_S12	WW	S12	0.32
EZ48	0.317329319	WW_S12	WW	S12	0.32
F04401	0.261868186	WW_S12	WW	S12	0.32
F04402	0.291298795	WW_S12	WW	S12	0.32
F04701	0.2847633	WW_S12	WW	S12	0.32
