Variety	Leaf_area	ENV	Treatment	Season	ENV_Leaf_area
LH38	0.330511117	WD_S12	WD	S12	0.26
LH39	0.333430239	WD_S12	WD	S12	0.26
LH59	0.257174559	WD_S12	WD	S12	0.26
LH60	0.23969896	WD_S12	WD	S12	0.26
LH65	0.249922556	WD_S12	WD	S12	0.26
LH74	0.248243788	WD_S12	WD	S12	0.26
LH82	0.236137335	WD_S12	WD	S12	0.26
LH93	0.283791998	WD_S12	WD	S12	0.26
Lo1016	0.307600316	WD_S12	WD	S12	0.26
Lo1026	0.294377678	WD_S12	WD	S12	0.26
Lo1035	0.287406283	WD_S12	WD	S12	0.26
Lo1038	0.243973045	WD_S12	WD	S12	0.26
Lo1056	0.276234851	WD_S12	WD	S12	0.26
Lo1063	0.287044007	WD_S12	WD	S12	0.26
Lo1087	0.164194938	WD_S12	WD	S12	0.26
Lo1094	0.307967335	WD_S12	WD	S12	0.26
Lo1095	0.216962931	WD_S12	WD	S12	0.26
Lo1101	0.233635621	WD_S12	WD	S12	0.26
Lo1106	0.2135166	WD_S12	WD	S12	0.26
Lo1123	0.327534287	WD_S12	WD	S12	0.26
Lo1124	0.243115478	WD_S12	WD	S12	0.26
Lo1172	0.255230813	WD_S12	WD	S12	0.26
Lo1180	0.226530106	WD_S12	WD	S12	0.26
Lo1187	0.244517925	WD_S12	WD	S12	0.26
Lo1199	0.254245911	WD_S12	WD	S12	0.26
Lo1203	0.268295244	WD_S12	WD	S12	0.26
Lo1223	0.244355986	WD_S12	WD	S12	0.26
Lo1251	0.164992513	WD_S12	WD	S12	0.26
Lo1253	0.234332569	WD_S12	WD	S12	0.26
Lo1261	0.210387314	WD_S12	WD	S12	0.26
Lo1266	0.290240133	WD_S12	WD	S12	0.26
Lo1270	0.28253077	WD_S12	WD	S12	0.26
Lo1273	0.324238212	WD_S12	WD	S12	0.26
Lo1274	0.332140765	WD_S12	WD	S12	0.26
Lo1280	0.264959801	WD_S12	WD	S12	0.26
Lo1284	0.268276117	WD_S12	WD	S12	0.26
Lo1288	0.217014553	WD_S12	WD	S12	0.26
Lo1290	0.276818926	WD_S12	WD	S12	0.26
Lo1301	0.291554853	WD_S12	WD	S12	0.26
Lo904	0.253787926	WD_S12	WD	S12	0.26
Lp5	0.27609207	WD_S12	WD	S12	0.26
ML606	0.2480034	WD_S12	WD	S12	0.26
Mo15W	0.332522687	WD_S12	WD	S12	0.26
Mo17	0.256662255	WD_S12	WD	S12	0.26
MS153	0.276318889	WD_S12	WD	S12	0.26
MS71	0.27049488	WD_S12	WD	S12	0.26
N16	0.19776428	WD_S12	WD	S12	0.26
N192	0.277582543	WD_S12	WD	S12	0.26
N22	0.235133027	WD_S12	WD	S12	0.26
N25	0.282529417	WD_S12	WD	S12	0.26
N6	0.263756664	WD_S12	WD	S12	0.26
NC290	0.225702683	WD_S12	WD	S12	0.26
NC358	0.283601574	WD_S12	WD	S12	0.26
NDB8	0.169825814	WD_S12	WD	S12	0.26
NK764	0.283920372	WD_S12	WD	S12	0.26
NK807	0.312908048	WD_S12	WD	S12	0.26
NQ508	0.235570611	WD_S12	WD	S12	0.26
NS701	0.262144682	WD_S12	WD	S12	0.26
Oh02	0.258085051	WD_S12	WD	S12	0.26
Oh33	0.352931058	WD_S12	WD	S12	0.26
Oh40B	0.300138967	WD_S12	WD	S12	0.26
Oh43	0.352903942	WD_S12	WD	S12	0.26
Os426	0.303303274	WD_S12	WD	S12	0.26
P465P	0.302656848	WD_S12	WD	S12	0.26
Pa36	0.284453424	WD_S12	WD	S12	0.26
Pa405	0.26759595	WD_S12	WD	S12	0.26
Pa91	0.287994786	WD_S12	WD	S12	0.26
PB116	0.250691638	WD_S12	WD	S12	0.26
PB98TR	0.279989096	WD_S12	WD	S12	0.26
PH207	0.128118136	WD_S12	WD	S12	0.26
PHB09	0.249519175	WD_S12	WD	S12	0.26
PHG35	0.210156791	WD_S12	WD	S12	0.26
PHG39	0.304973547	WD_S12	WD	S12	0.26
PHG47	0.25825574	WD_S12	WD	S12	0.26
PHG50	0.279860324	WD_S12	WD	S12	0.26
PHG71	0.267979118	WD_S12	WD	S12	0.26
PHG80	0.215401481	WD_S12	WD	S12	0.26
PHG84	0.294386409	WD_S12	WD	S12	0.26
PHG86	0.282557279	WD_S12	WD	S12	0.26
PHH93	0.153145657	WD_S12	WD	S12	0.26
PHJ40	0.25955591	WD_S12	WD	S12	0.26
PHK29	0.343915255	WD_S12	WD	S12	0.26
PHK76	0.256571964	WD_S12	WD	S12	0.26
PHR36	0.268085014	WD_S12	WD	S12	0.26
PHT77	0.24248254	WD_S12	WD	S12	0.26
PHV63	0.284333575	WD_S12	WD	S12	0.26
PHW65	0.213721193	WD_S12	WD	S12	0.26
PHZ51	0.305064502	WD_S12	WD	S12	0.26
SC-Malawi	0.29636562	WD_S12	WD	S12	0.26
SGI061	0.203348559	WD_S12	WD	S12	0.26
UH_2500	0.310420853	WD_S12	WD	S12	0.26
UH_6102	0.199307769	WD_S12	WD	S12	0.26
UH_6179	0.14183957	WD_S12	WD	S12	0.26
UH_P060	0.184601793	WD_S12	WD	S12	0.26
UH_P064	0.229925432	WD_S12	WD	S12	0.26
UH_P074	0.158463326	WD_S12	WD	S12	0.26
UH_P087	0.202483471	WD_S12	WD	S12	0.26
UH_P089	0.309429895	WD_S12	WD	S12	0.26
UH_P104	0.23294972	WD_S12	WD	S12	0.26
UH_P115	0.243970779	WD_S12	WD	S12	0.26
UH_P128	0.261571826	WD_S12	WD	S12	0.26
UH_P148	0.163731522	WD_S12	WD	S12	0.26
UH_S018	0.257212476	WD_S12	WD	S12	0.26
UH_S020	0.24754518	WD_S12	WD	S12	0.26
UH_S025	0.263064125	WD_S12	WD	S12	0.26
UH250	0.327439374	WD_S12	WD	S12	0.26
UH304	0.167014758	WD_S12	WD	S12	0.26
Va26	0.30930114	WD_S12	WD	S12	0.26
W117	0.281559903	WD_S12	WD	S12	0.26
W153R	0.258977418	WD_S12	WD	S12	0.26
W182E	0.271273323	WD_S12	WD	S12	0.26
W23	0.283244296	WD_S12	WD	S12	0.26
W602S	0.264937337	WD_S12	WD	S12	0.26
W604S	0.290073218	WD_S12	WD	S12	0.26
W64A	0.293593424	WD_S12	WD	S12	0.26
W9	0.155590994	WD_S12	WD	S12	0.26
W95115	0.256410216	WD_S12	WD	S12	0.26
Wf9	0.275183364	WD_S12	WD	S12	0.26
11430	0.418099893	WD_S13	WD	S13	0.36
A3	0.363138996	WD_S13	WD	S13	0.36
A310	0.401722354	WD_S13	WD	S13	0.36
A347	0.349612725	WD_S13	WD	S13	0.36
A374	0.414885511	WD_S13	WD	S13	0.36
A375	0.354900322	WD_S13	WD	S13	0.36
A554	0.394234	WD_S13	WD	S13	0.36
AS5707	0.327684023	WD_S13	WD	S13	0.36
B100	0.396387964	WD_S13	WD	S13	0.36
B104	0.363782869	WD_S13	WD	S13	0.36
B105	0.383275233	WD_S13	WD	S13	0.36
B106	0.364060734	WD_S13	WD	S13	0.36
B107	0.326868098	WD_S13	WD	S13	0.36
B108	0.385001417	WD_S13	WD	S13	0.36
B109	0.341266405	WD_S13	WD	S13	0.36
B110	0.408442293	WD_S13	WD	S13	0.36
B113	0.371393784	WD_S13	WD	S13	0.36
B37	0.362501131	WD_S13	WD	S13	0.36
B73	0.376844545	WD_S13	WD	S13	0.36
B84	0.392014303	WD_S13	WD	S13	0.36
B89	0.394810803	WD_S13	WD	S13	0.36
B97	0.360714013	WD_S13	WD	S13	0.36
B98	0.329652342	WD_S13	WD	S13	0.36
C103	0.349381258	WD_S13	WD	S13	0.36
CO109	0.415468472	WD_S13	WD	S13	0.36
CR1Ht	0.398383077	WD_S13	WD	S13	0.36
D09	0.415096526	WD_S13	WD	S13	0.36
DE811	0.343568897	WD_S13	WD	S13	0.36
DK4676A	0.331093723	WD_S13	WD	S13	0.36
DK78010	0.309525543	WD_S13	WD	S13	0.36
DK78371A	0.344213198	WD_S13	WD	S13	0.36
DKFAPW	0.389995029	WD_S13	WD	S13	0.36
DKFBHJ	0.40325074	WD_S13	WD	S13	0.36
DKIBO2	0.394669764	WD_S13	WD	S13	0.36
DKMBST	0.385544709	WD_S13	WD	S13	0.36
EA1027	0.409320748	WD_S13	WD	S13	0.36
EA1163	0.357905435	WD_S13	WD	S13	0.36
EA3076	0.376662928	WD_S13	WD	S13	0.36
EC136	0.401265975	WD_S13	WD	S13	0.36
EC140	0.392165493	WD_S13	WD	S13	0.36
EC151	0.294714274	WD_S13	WD	S13	0.36
EC169	0.350440879	WD_S13	WD	S13	0.36
EC175	0.363915681	WD_S13	WD	S13	0.36
EC232	0.390880081	WD_S13	WD	S13	0.36
EC242C	0.362502511	WD_S13	WD	S13	0.36
EC334	0.355038519	WD_S13	WD	S13	0.36
EP10	0.420117936	WD_S13	WD	S13	0.36
EP2008-18	0.39253617	WD_S13	WD	S13	0.36
EP2008-22	0.365147024	WD_S13	WD	S13	0.36
EP29	0.398814034	WD_S13	WD	S13	0.36
EP51	0.355653011	WD_S13	WD	S13	0.36
EP52	0.382573354	WD_S13	WD	S13	0.36
EP55	0.368455743	WD_S13	WD	S13	0.36
EP67	0.356268472	WD_S13	WD	S13	0.36
EP72	0.323784917	WD_S13	WD	S13	0.36
EP77	0.457528229	WD_S13	WD	S13	0.36
EZ11A	0.298550279	WD_S13	WD	S13	0.36
EZ18	0.3	WD_S13	WD	S13	0.36
EZ31	0.399494724	WD_S13	WD	S13	0.36
EZ34	0.390520811	WD_S13	WD	S13	0.36
EZ35	0.352165785	WD_S13	WD	S13	0.36
EZ36	0.35668829	WD_S13	WD	S13	0.36
EZ37	0.318911986	WD_S13	WD	S13	0.36
EZ38	0.361684153	WD_S13	WD	S13	0.36
EZ40	0.325046517	WD_S13	WD	S13	0.36
EZ42	0.373459319	WD_S13	WD	S13	0.36
EZ47	0.340429491	WD_S13	WD	S13	0.36
EZ48	0.338844962	WD_S13	WD	S13	0.36
F04401	0.287770076	WD_S13	WD	S13	0.36
F04402	0.305626552	WD_S13	WD	S13	0.36
F04701	0.324099619	WD_S13	WD	S13	0.36
F04702	0.395593568	WD_S13	WD	S13	0.36
F05101	0.39151484	WD_S13	WD	S13	0.36
F05404	0.316827712	WD_S13	WD	S13	0.36
F1808	0.390838131	WD_S13	WD	S13	0.36
F1890	0.346907317	WD_S13	WD	S13	0.36
F218	0.394578733	WD_S13	WD	S13	0.36
F252	0.354636381	WD_S13	WD	S13	0.36
F353	0.404581927	WD_S13	WD	S13	0.36
F354	0.337441523	WD_S13	WD	S13	0.36
F546	0.339443001	WD_S13	WD	S13	0.36
F608	0.384256923	WD_S13	WD	S13	0.36
F618	0.39140756	WD_S13	WD	S13	0.36
F7001	0.382883473	WD_S13	WD	S13	0.36
F7019	0.470077511	WD_S13	WD	S13	0.36
F7025	0.337538689	WD_S13	WD	S13	0.36
F7028	0.346846416	WD_S13	WD	S13	0.36
F7057	0.353835689	WD_S13	WD	S13	0.36
F7058	0.382912224	WD_S13	WD	S13	0.36
F7081	0.417516598	WD_S13	WD	S13	0.36
F7082	0.365986793	WD_S13	WD	S13	0.36
F712	0.321396292	WD_S13	WD	S13	0.36
F748	0.369760933	WD_S13	WD	S13	0.36
F752	0.337178902	WD_S13	WD	S13	0.36
F838	0.408681212	WD_S13	WD	S13	0.36
F874	0.381417247	WD_S13	WD	S13	0.36
F888	0.410072861	WD_S13	WD	S13	0.36
F894	0.383307426	WD_S13	WD	S13	0.36
F908	0.366777462	WD_S13	WD	S13	0.36
F912	0.378977834	WD_S13	WD	S13	0.36
F918	0.392166753	WD_S13	WD	S13	0.36
F922	0.319846671	WD_S13	WD	S13	0.36
F98902	0.382422292	WD_S13	WD	S13	0.36
FP1	0.452225284	WD_S13	WD	S13	0.36
FR19	0.373965065	WD_S13	WD	S13	0.36
FR697	0.332557011	WD_S13	WD	S13	0.36
H99	0.370215819	WD_S13	WD	S13	0.36
HMV5301	0.338520228	WD_S13	WD	S13	0.36
HMV5325	0.350263272	WD_S13	WD	S13	0.36
HMV5343	0.366390341	WD_S13	WD	S13	0.36
HMV5347	0.345157399	WD_S13	WD	S13	0.36
HMV5405	0.356790937	WD_S13	WD	S13	0.36
HMV5409	0.368278248	WD_S13	WD	S13	0.36
HMV5422	0.372439983	WD_S13	WD	S13	0.36
HMV5502	0.362530658	WD_S13	WD	S13	0.36
I198	0.365284246	WD_S13	WD	S13	0.36
I205	0.321059184	WD_S13	WD	S13	0.36
I211	0.383772363	WD_S13	WD	S13	0.36
I238	0.363916892	WD_S13	WD	S13	0.36
I242	0.391085166	WD_S13	WD	S13	0.36
I261	0.300778608	WD_S13	WD	S13	0.36
I267	0.36200437	WD_S13	WD	S13	0.36
IDT	0.366558842	WD_S13	WD	S13	0.36
LAN496	0.368086433	WD_S13	WD	S13	0.36
LH123Ht	0.404853756	WD_S13	WD	S13	0.36
LH145	0.365012197	WD_S13	WD	S13	0.36
LH38	0.418814211	WD_S13	WD	S13	0.36
LH39	0.394306504	WD_S13	WD	S13	0.36
LH59	0.329197653	WD_S13	WD	S13	0.36
LH60	0.333025373	WD_S13	WD	S13	0.36
LH65	0.380576051	WD_S13	WD	S13	0.36
LH74	0.318775076	WD_S13	WD	S13	0.36
LH82	0.339938486	WD_S13	WD	S13	0.36
LH93	0.33445377	WD_S13	WD	S13	0.36
Lo1016	0.371882974	WD_S13	WD	S13	0.36
Lo1026	0.368345245	WD_S13	WD	S13	0.36
Lo1035	0.38643841	WD_S13	WD	S13	0.36
Lo1038	0.319648381	WD_S13	WD	S13	0.36
Lo1056	0.314559609	WD_S13	WD	S13	0.36
Lo1063	0.330223163	WD_S13	WD	S13	0.36
Lo1087	0.292642169	WD_S13	WD	S13	0.36
Lo1094	0.378768777	WD_S13	WD	S13	0.36
Lo1095	0.354161191	WD_S13	WD	S13	0.36
Lo1101	0.375230534	WD_S13	WD	S13	0.36
Lo1106	0.345736346	WD_S13	WD	S13	0.36
Lo1123	0.427761461	WD_S13	WD	S13	0.36
Lo1124	0.357174404	WD_S13	WD	S13	0.36
Lo1172	0.421967773	WD_S13	WD	S13	0.36
Lo1180	0.404611636	WD_S13	WD	S13	0.36
Lo1187	0.383638998	WD_S13	WD	S13	0.36
Lo1199	0.365436258	WD_S13	WD	S13	0.36
Lo1203	0.315987929	WD_S13	WD	S13	0.36
Lo1223	0.380503418	WD_S13	WD	S13	0.36
Lo1251	0.351221058	WD_S13	WD	S13	0.36
Lo1253	0.400318927	WD_S13	WD	S13	0.36
Lo1261	0.414074632	WD_S13	WD	S13	0.36
Lo1266	0.38923933	WD_S13	WD	S13	0.36
Lo1270	0.35163262	WD_S13	WD	S13	0.36
Lo1273	0.407877886	WD_S13	WD	S13	0.36
Lo1274	0.40417762	WD_S13	WD	S13	0.36
Lo1280	0.331351416	WD_S13	WD	S13	0.36
Lo1284	0.373393372	WD_S13	WD	S13	0.36
Lo1288	0.323169519	WD_S13	WD	S13	0.36
Lo1290	0.39222407	WD_S13	WD	S13	0.36
Lo1301	0.34041107	WD_S13	WD	S13	0.36
Lo904	0.365339876	WD_S13	WD	S13	0.36
