Variety	WUE_S12_WD	WUE_S13_WD	WUE_S16_WD	WUE_W13_WD	WUE_S12_WW	WUE_S13_WW	WUE_S16_WW	WUE_W13_WW
LH60	40.06242955	49.13931416	73.26477939	69.7539159	54.56331965	45.48302892	79.29909712	75.03583181
LH65	62.72261659	53.20083432	66.53366888	76.1905777	69.43289413	49.07852466	83.11176886	86.82853119
LH74	47.37084465	43.68945284	65.02024668	68.38226251	56.04085747	40.02419836	71.44840063	77.31727793
LH82	55.59767583	47.59425588	68.77735158	69.35523379	65.88666959	51.79662222	75.11419487	74.78643317
LH93	51.66037262	46.92854252	63.07735284	66.51625684	67.97701888	47.22816894	75.01686434	78.93904942
Lo1016	54.08248781	45.89870675	61.72071726	76.8957016	61.6448361	49.37222724	75.47032829	85.00672236
Lo1026	59.89421809	52.0026606	76.52272769	83.13917249	65.13421095	54.43115102	77.45096749	78.7366828
Lo1035	47.3401135	42.49158959	62.26254918	70.42521868	63.53940309	44.14011765	70.57636003	79.9917228
Lo1038	56.33219881	51.22144902	72.26062906	82.25939894	61.75715645	54.77292335	94.47745442	73.24337767
Lo1056	57.29865516	58.57953935	69.5535745	81.86515898	72.03859223	58.29061004	100.524163	85.62321652
Lo1063	52.11852907	47.87947193	69.7586266	69.23226442	59.85964834	44.7940042	75.26554159	70.32686221
Lo1087	54.3692797	52.76021978	67.67545759	100.6853298	59.80995288	47.16270907	80.11148108	88.40775815
Lo1094	46.36767492	52.63976871	76.34930189	83.67224314	68.27904909	53.84374015	91.8009244	107.6455715
Lo1095	58.86315556	50.52525565	70.7616701	70.66814957	60.58420192	32.53399084	80.01432535	81.66484006
Lo1101	49.73288052	47.17567157	69.04323609	69.30483553	62.18449589	46.14869754	64.18411051	73.8705463
Lo1106	48.42055211	55.32190416	68.64677509	84.41125887	55.00708391	47.71519231	78.70928655	74.93635419
Lo1123	45.60517431	42.50661485	70.03116559	74.39719683	62.48399494	52.52335062	72.63032175	84.92192626
Lo1124	53.48866153	52.55399557	64.52700286	72.94239961	60.85956053	51.0956493	88.42108215	78.80373829
Lo1172	52.52568297	45.95363205	67.44140932	72.1827269	58.89579146	48.21354825	85.4612216	88.38329272
Lo1180	63.07382699	47.72469728	71.8150812	90.68112036	71.70826984	49.81401586	81.03720407	82.27460186
Lo1187	51.38994812	51.35690492	71.9692007	85.50460447	71.63266759	40.35387176	74.10564297	93.68720128
Lo1199	49.97650316	51.95278624	75.18924294	78.4951179	54.72330262	51.62074019	80.3440916	84.28465451
Lo1203	56.99557335	49.37761642	72.07030704	76.42618914	67.88291681	43.52212872	79.93710032	81.16294018
Lo1223	56.24695126	50.82954195	70.00685276	84.89219822	64.78605331	57.5360741	86.535043	90.47980428
