Variety	Biomass	LAl	WUE	Season	Treatment
HMV5422	160.5197737	0.251446301	71.85348705	S12	WD
HMV5502	170.9299353	0.19794446	60.58140567	S12	WD
I198	222.6758657	0.314699239	52.9930503	S12	WD
I205	178.0096566	0.244295945	59.90072307	S12	WD
I211	201.616856	0.270209285	58.63173666	S12	WD
I238	177.7782723	0.241642293	53.53309557	S12	WD
I242	177.2209625	0.241434021	49.30869917	S12	WD
I261	200.5458569	0.270535495	47.82314143	S12	WD
I267	212.7547882	0.295956965	49.00259834	S12	WD
IDT	146.4719711	0.20030243	51.01693518	S12	WD
LAN496	213.4616628	0.261478311	59.0477639	S12	WD
LH123Ht	223.1339065	0.327198384	51.44596565	S12	WD
LH145	201.8169209	0.293052519	48.62506883	S12	WD
LH38	205.6174243	0.330511117	49.63208563	S12	WD
LH39	236.7630876	0.333430239	53.83433081	S12	WD
LH59	175.7770016	0.257174559	53.12719737	S12	WD
LH60	150.3622735	0.23969896	40.06242955	S12	WD
LH65	175.5540172	0.249922556	62.72261659	S12	WD
LH74	154.4777626	0.248243788	47.37084465	S12	WD
LH82	165.3476176	0.236137335	55.59767583	S12	WD
LH93	184.9148922	0.283791998	51.66037262	S12	WD
Lo1016	219.0937281	0.307600316	54.08248781	S12	WD
Lo1026	220.0932989	0.294377678	59.89421809	S12	WD
Lo1035	193.8206599	0.287406283	47.3401135	S12	WD
Lo1038	171.1364337	0.243973045	56.33219881	S12	WD
Lo1056	205.1826299	0.276234851	57.29865516	S12	WD
Lo1063	196.7712061	0.287044007	52.11852907	S12	WD
Lo1087	153.1057905	0.164194938	54.3692797	S12	WD
Lo1094	224.645255	0.307967335	46.36767492	S12	WD
Lo1095	191.9751127	0.216962931	58.86315556	S12	WD
Lo1101	162.8498034	0.233635621	49.73288052	S12	WD
Lo1106	160.7000269	0.2135166	48.42055211	S12	WD
Lo1123	226.9404371	0.327534287	45.60517431	S12	WD
Lo1124	176.6475956	0.243115478	53.48866153	S12	WD
Lo1172	184.0424653	0.255230813	52.52568297	S12	WD
Lo1180	169.4145315	0.226530106	63.07382699	S12	WD
Lo1187	183.6617351	0.244517925	51.38994812	S12	WD
Lo1199	176.3556592	0.254245911	49.97650316	S12	WD
Lo1203	190.5506226	0.268295244	56.99557335	S12	WD
Lo1223	190.487503	0.244355986	56.24695126	S12	WD
Lo1251	171.2722303	0.164992513	51.8599641	S12	WD
Lo1253	182.0068454	0.234332569	51.17965258	S12	WD
Lo1261	169.4650293	0.210387314	54.93383165	S12	WD
Lo1266	218.9933367	0.290240133	50.90665525	S12	WD
Lo1270	196.9774698	0.28253077	51.79748853	S12	WD
Lo1273	256.4985141	0.324238212	55.79157145	S12	WD
Lo1274	214.744547	0.332140765	56.5709202	S12	WD
Lo1280	199.8487829	0.264959801	51.48873037	S12	WD
Lo1284	191.3075427	0.268276117	49.29284905	S12	WD
Lo1288	182.2630125	0.217014553	58.89416026	S12	WD
Lo1290	193.6848934	0.276818926	49.52802915	S12	WD
Lo1301	184.705472	0.291554853	49.49855788	S12	WD
Lo904	188.1044925	0.253787926	49.50502431	S12	WD
Lp5	191.7354882	0.27609207	48.41269344	S12	WD
ML606	179.925177	0.2480034	55.19737344	S12	WD
Mo15W	158.2057162	0.332522687	95.86901878	S12	WD
Mo17	193.0580978	0.256662255	58.17025781	S12	WD
MS153	211.4030306	0.276318889	65.62286741	S12	WD
MS71	213.815012	0.27049488	51.44237374	S12	WD
N16	146.7717917	0.19776428	58.28074906	S12	WD
N192	201.1910424	0.277582543	54.60166859	S12	WD
N22	152.8488766	0.235133027	54.43149406	S12	WD
N25	172.1464194	0.282529417	44.29172428	S12	WD
