Variety	WUE	ENV	Treatment	Season	ENV_WUE
LH38	49.63208563	WD_S12	WD	S12	55.24
LH39	53.83433081	WD_S12	WD	S12	55.24
LH59	53.12719737	WD_S12	WD	S12	55.24
LH60	40.06242955	WD_S12	WD	S12	55.24
LH65	62.72261659	WD_S12	WD	S12	55.24
LH74	47.37084465	WD_S12	WD	S12	55.24
LH82	55.59767583	WD_S12	WD	S12	55.24
LH93	51.66037262	WD_S12	WD	S12	55.24
Lo1016	54.08248781	WD_S12	WD	S12	55.24
Lo1026	59.89421809	WD_S12	WD	S12	55.24
Lo1035	47.3401135	WD_S12	WD	S12	55.24
Lo1038	56.33219881	WD_S12	WD	S12	55.24
Lo1056	57.29865516	WD_S12	WD	S12	55.24
Lo1063	52.11852907	WD_S12	WD	S12	55.24
Lo1087	54.3692797	WD_S12	WD	S12	55.24
Lo1094	46.36767492	WD_S12	WD	S12	55.24
Lo1095	58.86315556	WD_S12	WD	S12	55.24
Lo1101	49.73288052	WD_S12	WD	S12	55.24
Lo1106	48.42055211	WD_S12	WD	S12	55.24
Lo1123	45.60517431	WD_S12	WD	S12	55.24
Lo1124	53.48866153	WD_S12	WD	S12	55.24
Lo1172	52.52568297	WD_S12	WD	S12	55.24
Lo1180	63.07382699	WD_S12	WD	S12	55.24
Lo1187	51.38994812	WD_S12	WD	S12	55.24
Lo1199	49.97650316	WD_S12	WD	S12	55.24
Lo1203	56.99557335	WD_S12	WD	S12	55.24
Lo1223	56.24695126	WD_S12	WD	S12	55.24
Lo1251	51.8599641	WD_S12	WD	S12	55.24
Lo1253	51.17965258	WD_S12	WD	S12	55.24
Lo1261	54.93383165	WD_S12	WD	S12	55.24
Lo1266	50.90665525	WD_S12	WD	S12	55.24
Lo1270	51.79748853	WD_S12	WD	S12	55.24
Lo1273	55.79157145	WD_S12	WD	S12	55.24
Lo1274	56.5709202	WD_S12	WD	S12	55.24
Lo1280	51.48873037	WD_S12	WD	S12	55.24
Lo1284	49.29284905	WD_S12	WD	S12	55.24
Lo1288	58.89416026	WD_S12	WD	S12	55.24
Lo1290	49.52802915	WD_S12	WD	S12	55.24
Lo1301	49.49855788	WD_S12	WD	S12	55.24
Lo904	49.50502431	WD_S12	WD	S12	55.24
Lp5	48.41269344	WD_S12	WD	S12	55.24
ML606	55.19737344	WD_S12	WD	S12	55.24
Mo15W	95.86901878	WD_S12	WD	S12	55.24
Mo17	58.17025781	WD_S12	WD	S12	55.24
MS153	65.62286741	WD_S12	WD	S12	55.24
MS71	51.44237374	WD_S12	WD	S12	55.24
N16	58.28074906	WD_S12	WD	S12	55.24
N192	54.60166859	WD_S12	WD	S12	55.24
N22	54.43149406	WD_S12	WD	S12	55.24
N25	44.29172428	WD_S12	WD	S12	55.24
N6	67.75530317	WD_S12	WD	S12	55.24
NC290	59.85700315	WD_S12	WD	S12	55.24
NC358	64.98192728	WD_S12	WD	S12	55.24
NDB8	62.94766788	WD_S12	WD	S12	55.24
NK764	52.37288489	WD_S12	WD	S12	55.24
NK807	63.06207534	WD_S12	WD	S12	55.24
NQ508	63.20916792	WD_S12	WD	S12	55.24
NS701	50.11983235	WD_S12	WD	S12	55.24
Oh02	63.94078468	WD_S12	WD	S12	55.24
Oh33	53.20404354	WD_S12	WD	S12	55.24
Oh40B	53.79538495	WD_S12	WD	S12	55.24
Oh43	56.17766301	WD_S12	WD	S12	55.24
Os426	49.99467907	WD_S12	WD	S12	55.24
P465P	51.54062042	WD_S12	WD	S12	55.24
Pa36	51.55530741	WD_S12	WD	S12	55.24
Pa405	63.14203876	WD_S12	WD	S12	55.24
Pa91	51.16227377	WD_S12	WD	S12	55.24
PB116	53.22886516	WD_S12	WD	S12	55.24
PB98TR	64.04520414	WD_S12	WD	S12	55.24
PH207	83.14524634	WD_S12	WD	S12	55.24
PHB09	55.86048851	WD_S12	WD	S12	55.24
PHG35	59.25997135	WD_S12	WD	S12	55.24
PHG39	59.95834276	WD_S12	WD	S12	55.24
PHG47	54.64237056	WD_S12	WD	S12	55.24
PHG50	54.15880539	WD_S12	WD	S12	55.24
PHG71	53.39103769	WD_S12	WD	S12	55.24
PHG80	60.6042687	WD_S12	WD	S12	55.24
PHG84	51.96529934	WD_S12	WD	S12	55.24
PHG86	55.49469235	WD_S12	WD	S12	55.24
PHH93	63.77920407	WD_S12	WD	S12	55.24
PHJ40	50.84495552	WD_S12	WD	S12	55.24
PHK29	41.2914995	WD_S12	WD	S12	55.24
PHK76	56.15762314	WD_S12	WD	S12	55.24
PHR36	53.54181093	WD_S12	WD	S12	55.24
PHT77	54.35778962	WD_S12	WD	S12	55.24
PHV63	56.89872746	WD_S12	WD	S12	55.24
PHW65	62.78019054	WD_S12	WD	S12	55.24
PHZ51	54.41229057	WD_S12	WD	S12	55.24
SC-Malawi	54.76370497	WD_S12	WD	S12	55.24
SGI061	57.00390499	WD_S12	WD	S12	55.24
UH_2500	58.2793407	WD_S12	WD	S12	55.24
UH_6102	58.79727077	WD_S12	WD	S12	55.24
UH_6179	62.27573267	WD_S12	WD	S12	55.24
UH_P060	55.95860936	WD_S12	WD	S12	55.24
UH_P064	53.22506999	WD_S12	WD	S12	55.24
UH_P074	64.84010258	WD_S12	WD	S12	55.24
UH_P087	58.90882647	WD_S12	WD	S12	55.24
UH_P089	54.09192148	WD_S12	WD	S12	55.24
UH_P104	54.26903276	WD_S12	WD	S12	55.24
UH_P115	55.17742278	WD_S12	WD	S12	55.24
UH_P128	59.64413728	WD_S12	WD	S12	55.24
UH_P148	60.51641128	WD_S12	WD	S12	55.24
UH_S018	50.64533978	WD_S12	WD	S12	55.24
UH_S020	45.61955292	WD_S12	WD	S12	55.24
UH_S025	53.2165086	WD_S12	WD	S12	55.24
UH250	74.32153347	WD_S12	WD	S12	55.24
UH304	47.36806926	WD_S12	WD	S12	55.24
Va26	50.53413191	WD_S12	WD	S12	55.24
W117	63.11226165	WD_S12	WD	S12	55.24
W153R	57.61256105	WD_S12	WD	S12	55.24
W182E	58.80506518	WD_S12	WD	S12	55.24
W23	51.02553934	WD_S12	WD	S12	55.24
W602S	64.9439142	WD_S12	WD	S12	55.24
W604S	51.97949549	WD_S12	WD	S12	55.24
W64A	56.9987698	WD_S12	WD	S12	55.24
W9	64.30451214	WD_S12	WD	S12	55.24
W95115	56.87809218	WD_S12	WD	S12	55.24
Wf9	58.02876102	WD_S12	WD	S12	55.24
11430	42.18740806	WD_S13	WD	S13	49.96
A3	49.63815634	WD_S13	WD	S13	49.96
A310	57.8964576	WD_S13	WD	S13	49.96
A347	46.30868465	WD_S13	WD	S13	49.96
A374	42.68507238	WD_S13	WD	S13	49.96
A375	48.32589525	WD_S13	WD	S13	49.96
A554	44.99534951	WD_S13	WD	S13	49.96
AS5707	58.19916565	WD_S13	WD	S13	49.96
B100	41.68338795	WD_S13	WD	S13	49.96
B104	49.78632824	WD_S13	WD	S13	49.96
B105	53.75888471	WD_S13	WD	S13	49.96
B106	54.78113391	WD_S13	WD	S13	49.96
B107	60.33146629	WD_S13	WD	S13	49.96
B108	49.90944884	WD_S13	WD	S13	49.96
B109	50.13413324	WD_S13	WD	S13	49.96
B110	48.46186527	WD_S13	WD	S13	49.96
B113	50.04949345	WD_S13	WD	S13	49.96
B37	54.85768383	WD_S13	WD	S13	49.96
B73	50.99257453	WD_S13	WD	S13	49.96
B84	48.81509028	WD_S13	WD	S13	49.96
B89	51.21946887	WD_S13	WD	S13	49.96
B97	50.02230803	WD_S13	WD	S13	49.96
B98	41.722637	WD_S13	WD	S13	49.96
C103	63.02874395	WD_S13	WD	S13	49.96
CO109	54.76240166	WD_S13	WD	S13	49.96
CR1Ht	54.07666624	WD_S13	WD	S13	49.96
D09	48.3810553	WD_S13	WD	S13	49.96
DE811	58.12650965	WD_S13	WD	S13	49.96
DK4676A	55.57117341	WD_S13	WD	S13	49.96
DK78010	49.30039802	WD_S13	WD	S13	49.96
DK78371A	49.76956876	WD_S13	WD	S13	49.96
DKFAPW	48.79523801	WD_S13	WD	S13	49.96
DKFBHJ	52.35135241	WD_S13	WD	S13	49.96
DKIBO2	44.60973593	WD_S13	WD	S13	49.96
DKMBST	48.94358309	WD_S13	WD	S13	49.96
EA1027	57.02766335	WD_S13	WD	S13	49.96
EA1163	46.88515509	WD_S13	WD	S13	49.96
EA3076	50.41897831	WD_S13	WD	S13	49.96
EC136	46.54122658	WD_S13	WD	S13	49.96
EC140	46.14668599	WD_S13	WD	S13	49.96
EC151	51.28101773	WD_S13	WD	S13	49.96
EC169	48.39240764	WD_S13	WD	S13	49.96
EC175	48.56317542	WD_S13	WD	S13	49.96
EC232	56.57474692	WD_S13	WD	S13	49.96
EC242C	53.18041336	WD_S13	WD	S13	49.96
EC334	43.64376156	WD_S13	WD	S13	49.96
EP10	55.03275376	WD_S13	WD	S13	49.96
EP2008-18	53.54466134	WD_S13	WD	S13	49.96
EP2008-22	54.12706097	WD_S13	WD	S13	49.96
EP29	53.21441268	WD_S13	WD	S13	49.96
