tag,score_i,score_j,flips_abs,n_pairs,flips_frac
full_res10,RC,PImd,174,3160,0.05506329113924051
full_res10,RC,PILSM,174,3160,0.05506329113924051
full_res10,RC,RTR,1614,3160,0.510759493670886
full_res10,RC,PIR,255,3160,0.08069620253164557
full_res10,RC,RDPI,87,3160,0.027531645569620254
full_res10,RC,ESPI,697,3160,0.22056962025316457
full_res10,RC,ESPIID,712,3160,0.22531645569620254
full_res10,RC,PSI,1882,3160,0.5955696202531645
full_res10,RC,RPI,87,3160,0.027531645569620254
full_res10,RC,PQ,697,3160,0.22056962025316457
full_res10,RC,PR,697,3160,0.22056962025316457
full_res10,RC,NRW,697,3160,0.22056962025316457
full_res10,RC,ESP,10,3160,0.0031645569620253164
full_res10,RC,CEV,85,3160,0.02689873417721519
full_res10,RC,PFI,314,3160,0.09936708860759494
full_res10,RC,APC,861,3160,0.27246835443037976
full_res10,RC,SI,326,3160,0.10316455696202531
full_res10,RC,RSI,3075,3160,0.9731012658227848
full_res10,RC,EVS,665,3160,0.21044303797468356
full_res10,gPi,PPF,182,3160,0.05759493670886076
full_res10,gPi,PPi,117,3160,0.037025316455696206
full_res10,gPi,PImd,117,3160,0.037025316455696206
full_res10,gPi,PILSM,117,3160,0.037025316455696206
full_res10,gPi,RTR,1611,3160,0.5098101265822785
full_res10,gPi,PIR,226,3160,0.07151898734177216
full_res10,gPi,RDPI,82,3160,0.025949367088607594
full_res10,gPi,ESPI,672,3160,0.21265822784810126
full_res10,gPi,ESPIID,663,3160,0.2098101265822785
full_res10,gPi,PSI,1801,3160,0.5699367088607595
full_res10,gPi,RPI,82,3160,0.025949367088607594
full_res10,gPi,PQ,672,3160,0.21265822784810126
full_res10,gPi,PR,672,3160,0.21265822784810126
full_res10,gPi,NRW,672,3160,0.21265822784810126
full_res10,gPi,ESP,75,3160,0.023734177215189875
full_res10,gPi,CEV,0,3160,0
full_res10,gPi,PFI,229,3160,0.07246835443037974
full_res10,gPi,APC,788,3160,0.24936708860759493
full_res10,gPi,SI,307,3160,0.09715189873417722
