"resolution","score","stat","analysis","genotype_form","correlation","p_value"
25,"RDPI","mean_upper","global","combined",-0.45,0.001
25,"ESPI","min","global","combined",-0.0886075949367089,0.267
25,"ESPI","max","global","combined",0.0582278481012658,0.487
25,"ESPI","mean","global","combined",-0.0151898734177215,0.835
25,"ESPI","median","global","combined",-0.0151898734177215,0.841
25,"ESPI","slope","global","combined",-0.782911392405063,0.001
25,"ESPI","range","global","combined",1,0.001
25,"ESPI","variance","global","combined",1,0.001
25,"ESPI","mean_lower","global","combined",0.0620253164556962,0.433
25,"ESPI","mean_upper","global","combined",-0.0962025316455696,0.218
25,"ESPIID","min","global","combined",-0.0886075949367089,0.243
25,"ESPIID","max","global","combined",0.0582278481012658,0.422
25,"ESPIID","mean","global","combined",-0.0151898734177215,0.833
25,"ESPIID","median","global","combined",-0.0151898734177215,0.859
25,"ESPIID","slope","global","combined",-0.782911392405063,0.001
25,"ESPIID","range","global","combined",1,0.001
25,"ESPIID","variance","global","combined",1,0.001
25,"ESPIID","mean_lower","global","combined",0.0620253164556962,0.402
25,"ESPIID","mean_upper","global","combined",-0.0962025316455696,0.206
25,"PSI","min","global","combined",0.0886075949367089,0.238
25,"PSI","max","global","combined",-0.0582278481012658,0.428
25,"PSI","mean","global","combined",0.0151898734177215,0.837
25,"PSI","median","global","combined",0.0151898734177215,0.863
25,"PSI","slope","global","combined",0.782911392405063,0.001
25,"PSI","range","global","combined",-1,0.001
25,"PSI","variance","global","combined",-1,0.001
25,"PSI","mean_lower","global","combined",-0.0620253164556962,0.398
25,"PSI","mean_upper","global","combined",0.0962025316455696,0.195
25,"RPI","min","global","combined",-0.44620253164557,0.001
25,"RPI","max","global","combined",-0.299367088607595,0.002
25,"RPI","mean","global","combined",-0.372784810126582,0.001
25,"RPI","median","global","combined",-0.372784810126582,0.001
25,"RPI","slope","global","combined",-0.569620253164557,0.001
25,"RPI","range","global","combined",0.642405063291139,0.001
25,"RPI","variance","global","combined",0.642405063291139,0.001
25,"RPI","mean_lower","global","combined",-0.290506329113924,0.001
25,"RPI","mean_upper","global","combined",-0.45,0.001
25,"PQ","min","global","combined",-0.0886075949367089,0.258
25,"PQ","max","global","combined",0.0582278481012658,0.449
25,"PQ","mean","global","combined",-0.0151898734177215,0.847
25,"PQ","median","global","combined",-0.0151898734177215,0.844
25,"PQ","slope","global","combined",-0.782911392405063,0.001
25,"PQ","range","global","combined",1,0.001
25,"PQ","variance","global","combined",1,0.001
25,"PQ","mean_lower","global","combined",0.0620253164556962,0.428
25,"PQ","mean_upper","global","combined",-0.0962025316455696,0.181
25,"PR","min","global","combined",-0.0886075949367089,0.241
25,"PR","max","global","combined",0.0582278481012658,0.444
25,"PR","mean","global","combined",-0.0151898734177215,0.838
25,"PR","median","global","combined",-0.0151898734177215,0.863
25,"PR","slope","global","combined",-0.782911392405063,0.001
25,"PR","range","global","combined",1,0.001
25,"PR","variance","global","combined",1,0.001
25,"PR","mean_lower","global","combined",0.0620253164556962,0.436
25,"PR","mean_upper","global","combined",-0.0962025316455696,0.204
25,"NRW","min","global","combined",-0.0886075949367089,0.228
25,"NRW","max","global","combined",0.0582278481012658,0.448
25,"NRW","mean","global","combined",-0.0151898734177215,0.863
25,"NRW","median","global","combined",-0.0151898734177215,0.84
25,"NRW","slope","global","combined",-0.782911392405063,0.001
25,"NRW","range","global","combined",1,0.001
25,"NRW","variance","global","combined",1,0.001
25,"NRW","mean_lower","global","combined",0.0620253164556962,0.422
25,"NRW","mean_upper","global","combined",-0.0962025316455696,0.21
25,"ESP","min","global","combined",-0.44620253164557,0.001
25,"ESP","max","global","combined",-0.299367088607595,0.001
25,"ESP","mean","global","combined",-0.372784810126582,0.001
25,"ESP","median","global","combined",-0.372784810126582,0.001
25,"ESP","slope","global","combined",-0.569620253164557,0.001
25,"ESP","range","global","combined",0.642405063291139,0.001
25,"ESP","variance","global","combined",0.642405063291139,0.001
25,"ESP","mean_lower","global","combined",-0.290506329113924,0.001
25,"ESP","mean_upper","global","combined",-0.45,0.001
25,"CEV","min","global","combined",-0.44620253164557,0.001
25,"CEV","max","global","combined",-0.299367088607595,0.001
25,"CEV","mean","global","combined",-0.372784810126582,0.001
25,"CEV","median","global","combined",-0.372784810126582,0.001
25,"CEV","slope","global","combined",-0.569620253164557,0.001
25,"CEV","range","global","combined",0.642405063291139,0.001
25,"CEV","variance","global","combined",0.642405063291139,0.001
25,"CEV","mean_lower","global","combined",-0.290506329113924,0.002
25,"CEV","mean_upper","global","combined",-0.45,0.001
25,"PFI","min","global","combined",-0.44620253164557,0.001
25,"PFI","max","global","combined",-0.299367088607595,0.001
25,"PFI","mean","global","combined",-0.372784810126582,0.001
25,"PFI","median","global","combined",-0.372784810126582,0.001
25,"PFI","slope","global","combined",-0.569620253164557,0.001
25,"PFI","range","global","combined",0.642405063291139,0.001
25,"PFI","variance","global","combined",0.642405063291139,0.001
25,"PFI","mean_lower","global","combined",-0.290506329113924,0.001
25,"PFI","mean_upper","global","combined",-0.45,0.001
25,"APC","min","global","combined",-0.0886075949367089,0.248
25,"APC","max","global","combined",0.0582278481012658,0.433
25,"APC","mean","global","combined",-0.0151898734177215,0.848
25,"APC","median","global","combined",-0.0151898734177215,0.849
25,"APC","slope","global","combined",-0.782911392405063,0.001
25,"APC","range","global","combined",1,0.001
25,"APC","variance","global","combined",1,0.001
25,"APC","mean_lower","global","combined",0.0620253164556962,0.423
25,"APC","mean_upper","global","combined",-0.0962025316455696,0.189
25,"SI","min","global","combined",-0.312025316455696,0.001
25,"SI","max","global","combined",-0.165189873417722,0.029
25,"SI","mean","global","combined",-0.238607594936709,0.002
25,"SI","median","global","combined",-0.238607594936709,0.002
25,"SI","slope","global","combined",-0.648101265822785,0.001
25,"SI","range","global","combined",0.776582278481013,0.001
25,"SI","variance","global","combined",0.776582278481013,0.001
25,"SI","mean_lower","global","combined",-0.160126582278481,0.046
25,"SI","mean_upper","global","combined",-0.317088607594937,0.001
25,"RSI","min","global","combined",0.44620253164557,0.001
25,"RSI","max","global","combined",0.299367088607595,0.002
25,"RSI","mean","global","combined",0.372784810126582,0.001
25,"RSI","median","global","combined",0.372784810126582,0.001
