gid,genotype_id,CV_t,RN,RNN,D_slope,RC,gPi,PPF,PPi,PImd,PILSM,RTR,PIR,RDPI,ESPI,ESPIID,PSI,RPI,PQ,PR,NRW,ESP,CEV,PFI,APC,SI,RSI,EVS
57,60,29,43,33,35,32,29,26,22,22,22,35,23,26,38,30,5,26,38,38,38,31,29,16,16,35,52,44
58,61,54,6,63,15,54,54,49,53,53,53,13,43,53,18,28,71,53,18,18,18,54,54,57,36,40,27,21
59,62,68,66,72,54,68,68,68,65,65,65,65,65,66,53,61,49,66,53,53,53,68,68,69,71,63,13,53
60,63,31,8,65,23,31,31,22,30,30,30,9,11,30,26,36,66,30,26,26,26,32,31,34,50,31,50,27
61,64,50,5,61,13,50,50,43,48,48,48,12,37,48,13,23,75,48,13,13,13,50,50,54,33,34,31,15
62,65,49,70,69,46,47,49,52,46,46,46,68,45,46,45,57,56,46,45,45,45,47,49,51,65,47,32,49
63,66,79,57,79,79,79,79,79,79,79,79,60,79,79,79,79,32,79,79,79,79,79,79,79,79,79,2,79
64,67,80,35,80,80,80,80,80,80,80,80,38,80,80,80,80,11,80,80,80,80,80,80,80,80,80,1,80
65,68,28,13,68,41,23,28,17,25,25,25,8,4,25,39,54,58,25,39,39,39,25,28,31,63,37,53,45
66,69,78,63,77,77,78,78,78,78,78,78,63,77,78,77,77,44,78,77,77,77,78,78,78,77,78,3,77
67,7,47,60,45,58,48,47,51,51,51,51,61,52,50,57,52,35,50,57,57,57,48,47,44,40,51,34,57
68,70,62,16,70,50,61,62,60,59,59,59,15,55,61,50,59,51,61,50,50,50,61,62,65,68,59,19,51
69,71,71,18,75,73,71,71,70,70,70,70,18,70,70,74,75,46,70,74,74,74,71,71,73,75,71,10,74
70,72,67,17,71,51,67,67,62,64,64,64,17,60,64,52,60,50,64,52,52,52,67,67,68,70,61,14,52
71,73,74,64,74,69,74,74,74,73,73,73,64,73,73,70,74,47,73,70,70,70,74,74,75,74,72,7,71
72,74,72,20,78,78,72,72,72,72,72,72,19,72,72,78,78,43,72,78,78,78,72,72,74,78,76,9,78
73,75,11,74,64,24,10,11,20,8,8,8,77,10,9,25,35,67,9,25,25,25,10,11,17,49,20,70,26
74,76,66,12,67,38,65,66,61,61,61,61,16,58,62,37,47,59,62,37,37,37,65,66,67,62,56,15,41
75,77,36,77,62,14,34,36,40,33,33,33,71,34,34,17,27,72,34,17,17,17,34,36,40,34,29,45,20
76,78,3,65,73,56,2,3,14,2,2,2,79,1,2,59,67,48,2,59,59,59,2,3,8,72,32,78,61
77,79,43,9,66,26,43,43,35,41,41,41,11,28,40,27,38,65,40,27,27,27,43,43,48,52,39,38,28
78,8,73,51,59,74,73,73,73,75,75,75,42,75,74,73,72,23,74,73,73,73,73,73,72,69,73,8,73
79,80,76,19,76,76,76,76,76,76,76,76,20,76,76,76,76,45,76,76,76,76,76,76,77,76,77,5,76
80,9,37,27,52,62,35,37,33,34,34,34,21,36,36,65,64,28,36,65,65,65,35,37,32,59,52,44,65
